,선수,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR+,생일
3644,김도형97O,11,13,7,0,2,0,0,0,2,1,0,0,1,4,0,0,0,1,0,.286,.583,.286,.869,.426,172.9,0.17,1974-04-24
3645,김정태86빙1B,92,215,176,14,42,6,0,1,51,10,2,5,28,2,1,25,7,9,0,.239,.350,.290,.639,.302,91.2,0.17,1957-01-01
3646,김종갑90삼RF,45,92,75,7,16,1,0,1,20,5,1,2,15,2,0,16,2,0,0,.213,.359,.267,.625,.320,92.4,0.17,1964-06-18
3647,심재윤00한DH,84,102,87,15,21,3,1,4,38,8,1,2,12,2,1,28,4,1,0,.241,.347,.437,.783,.344,102.2,0.17,1975-08-24
3648,민경삼89MSS,93,210,179,36,41,4,0,1,48,14,12,7,15,3,1,20,5,12,0,.229,.300,.268,.568,.263,54.3,0.17,1963-02-24
3649,신경식84O1B,31,107,91,15,21,5,0,1,29,12,3,1,13,0,1,4,0,2,1,.231,.324,.319,.643,.298,85.0,0.17,1961-01-19
3650,백상원18삼2B,4,8,6,1,3,0,0,0,3,2,0,0,2,0,0,0,0,0,0,.500,.625,.500,1.125,.526,219.5,0.17,1988-01-02
3651,고기성94한,84,156,138,14,32,4,1,0,38,11,2,0,12,1,0,29,2,5,0,.232,.298,.275,.573,.268,64.6,0.17,1970-06-27
3652,이종두97쌍RF,15,38,29,6,8,2,0,0,10,2,0,1,5,2,0,6,1,1,1,.276,.405,.345,.750,.348,117.2,0.17,1962-04-05
3653,이시찬14한SS,45,119,105,14,30,4,0,0,34,9,4,1,10,0,0,19,3,3,1,.286,.345,.324,.669,.310,64.1,0.17,1985-02-25
3654,김정민01LC,61,122,108,8,28,4,1,0,34,12,0,0,7,1,0,27,2,6,0,.259,.310,.315,.625,.282,54.1,0.17,1970-03-15
3655,이희근11한C,75,138,123,17,29,3,1,1,37,10,1,0,4,3,0,26,2,8,0,.236,.277,.301,.578,.260,49.1,0.17,1985-06-07
3656,황윤성93태2B,18,23,22,1,7,1,0,0,8,1,0,0,0,1,0,4,0,0,0,.318,.348,.364,.712,.340,120.8,0.17,1974-03-14
3657,조윤채03한,59,92,68,27,15,2,0,0,17,2,1,1,13,5,0,21,1,5,1,.221,.379,.250,.629,.302,75.3,0.17,1977-08-10
3658,장채근95쌍C,73,140,126,7,22,5,0,4,39,23,0,1,10,1,0,26,3,1,2,.175,.237,.310,.547,.250,56.6,0.17,1964-03-28
3659,김성관83롯LF,79,232,208,17,45,10,4,1,66,21,9,6,16,4,0,16,7,3,0,.216,.285,.317,.602,.280,73.9,0.17,1952-07-06
3660,장광호97현C,81,225,197,20,43,9,1,3,63,13,1,1,12,0,0,24,1,15,1,.218,.262,.320,.582,.249,48.4,0.17,1967-04-14
3661,김민호85롯1B,67,125,118,9,33,6,1,1,44,10,0,2,4,1,0,18,1,1,1,.280,.307,.373,.679,.314,91.8,0.17,1961-04-28
3662,장영석10넥1B,64,163,138,16,32,6,0,5,53,19,0,0,12,9,1,45,3,3,1,.232,.331,.384,.715,.324,88.0,0.17,1990-05-14
3663,이창훈04한,25,41,35,6,9,2,0,1,14,4,0,1,5,0,0,11,0,1,0,.257,.350,.400,.750,.341,100.7,0.17,1981-03-25
3664,정원배99쌍C,33,66,63,7,16,3,0,1,22,7,1,0,3,0,0,12,0,0,0,.254,.288,.349,.637,.287,61.0,0.17,1973-08-01
3665,김종모91해RF,64,170,155,15,32,4,1,8,62,23,0,0,10,2,0,20,8,2,1,.206,.262,.400,.662,.298,78.9,0.17,1959-11-01
3666,황대인16KDH,4,7,7,1,3,2,0,1,8,3,0,0,0,0,0,3,0,0,0,.429,.429,1.143,1.571,.635,273.2,0.17,1996-02-10
3667,하준호14롯LF,31,88,73,18,17,5,0,1,25,11,1,1,8,6,0,29,0,1,0,.233,.356,.342,.699,.331,83.1,0.16,1989-04-29
3668,김태균04롯SS,40,83,78,9,19,2,0,3,30,10,0,0,2,1,0,23,3,1,1,.244,.268,.385,.653,.291,66.9,0.16,1971-08-19
3669,허준06현C,1,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,2.184,1434.5,0.16,1981-07-20
3670,조양근90빙2B,72,165,142,23,29,3,3,0,38,6,9,2,14,2,0,23,2,7,0,.204,.285,.268,.552,.261,53.1,0.16,1964-03-22
3671,배영섭15삼LF,4,18,16,2,6,0,0,0,6,2,1,0,2,0,0,4,2,0,0,.375,.444,.375,.819,.393,130.8,0.16,1986-06-27
3672,이현곤10K3B,108,304,260,27,68,13,1,2,89,28,0,2,21,1,0,38,6,17,5,.262,.314,.342,.656,.288,64.2,0.16,1980-02-21
3673,장영석18넥1B,93,221,196,24,44,15,0,7,80,25,1,0,23,2,0,61,2,0,0,.224,.312,.408,.720,.317,79.8,0.16,1990-05-14
3674,윤혁92쌍CF,67,168,148,13,35,4,0,1,42,13,4,0,16,0,1,19,6,2,2,.236,.307,.284,.591,.278,61.0,0.16,1967-05-22
3675,김상재92쌍,44,124,108,14,24,5,0,2,35,9,1,1,12,2,0,21,9,1,1,.222,.309,.324,.633,.297,73.6,0.16,1968-04-24
3676,김종국99해SS,2,5,3,2,1,0,0,1,4,2,0,0,2,0,0,1,0,0,0,.333,.600,1.333,1.933,.668,310.5,0.16,1973-09-14
3677,김우석08삼SS,8,13,10,2,3,2,0,0,5,1,1,0,2,0,0,2,0,1,0,.300,.417,.500,.917,.391,137.7,0.16,1975-09-02
3678,심재원90LC,70,99,90,12,19,0,0,1,22,12,3,0,7,1,0,14,0,1,0,.211,.276,.244,.520,.256,47.6,0.16,1953-07-30
3679,임수민05한2B,64,121,111,10,26,6,0,3,41,25,1,0,6,0,0,24,5,0,4,.234,.265,.369,.634,.284,67.6,0.16,1973-05-31
3680,정범모17한C,22,50,43,5,11,2,0,1,16,3,0,0,5,0,0,15,0,2,0,.256,.333,.372,.705,.310,73.7,0.16,1987-03-26
3681,최승환08두C,63,109,100,7,21,7,0,1,31,13,0,0,8,0,0,18,4,0,1,.210,.266,.310,.576,.272,56.9,0.16,1978-02-25
3682,오효근89빙,12,14,10,5,3,0,0,0,3,1,2,0,2,1,0,4,0,0,1,.300,.429,.300,.729,.365,124.6,0.16,1965-02-13
3683,장태수83삼CF,82,279,245,36,51,4,1,4,69,21,10,8,22,2,0,32,4,8,1,.208,.278,.282,.559,.260,60.1,0.16,1957-10-15
3684,최주환16두2B,85,182,160,21,45,11,0,2,62,22,0,0,12,4,1,19,2,2,4,.281,.339,.388,.726,.328,80.9,0.16,1988-02-28
3685,이순철98삼CF,72,187,160,21,34,9,1,2,51,21,3,3,18,1,1,40,4,5,3,.213,.291,.319,.610,.271,64.9,0.16,1961-04-18
3686,임수혁00롯DH,10,20,19,3,5,1,0,3,15,7,0,1,1,0,0,6,0,0,0,.263,.300,.789,1.090,.440,166.1,0.16,1969-06-17
3687,조재호04현,87,123,98,10,20,1,1,0,23,7,1,0,19,3,0,26,4,1,2,.204,.344,.235,.579,.293,68.5,0.16,1980-01-10
3688,김재걸98삼SS,72,111,100,8,25,2,0,0,27,5,9,5,5,3,0,25,2,3,0,.250,.306,.270,.576,.266,61.8,0.16,1972-09-07
3689,이호준96해1B,17,24,18,6,3,1,0,1,7,3,0,0,5,1,0,8,0,0,0,.167,.375,.389,.764,.362,131.3,0.16,1976-02-08
3690,김미호93롯,57,64,58,8,14,2,0,0,16,5,3,0,3,1,0,6,0,1,1,.241,.286,.276,.562,.266,67.4,0.16,1967-10-07
3691,김지수13넥2B,37,60,48,9,13,2,0,0,15,3,1,0,7,0,0,9,1,4,1,.271,.357,.313,.670,.305,75.3,0.16,1986-08-23
3692,폭스15한DH,38,121,108,16,30,4,0,7,55,25,0,0,8,3,1,27,9,0,2,.278,.339,.509,.848,.364,105.8,0.16,1982-07-20
3693,최해식93쌍C,18,32,28,3,5,1,0,1,9,3,0,0,3,1,0,4,1,0,0,.179,.281,.321,.603,.292,85.3,0.16,1968-09-30
3694,곽연수90O,64,194,169,16,37,7,2,1,51,15,1,2,17,3,1,28,5,3,2,.219,.298,.302,.600,.285,67.6,0.16,1967-03-18
3695,김충민96쌍C,24,43,39,4,9,2,0,0,11,1,2,0,3,0,0,13,1,1,0,.231,.286,.282,.568,.265,63.2,0.16,1970-03-05
3696,이승준03두,24,31,31,2,8,2,0,2,16,3,1,0,0,0,0,11,1,0,0,.258,.258,.516,.774,.333,96.9,0.16,1976-07-03
3697,이선웅92태3B,96,295,259,22,62,14,0,2,82,18,2,3,21,4,0,26,11,9,2,.239,.304,.317,.621,.285,65.0,0.16,1961-02-11
3698,알칸트라04두DH,37,151,130,19,30,4,0,6,52,25,0,1,17,2,0,40,2,0,2,.231,.325,.400,.725,.333,95.3,0.16,1971-05-06
3699,정영진91태,27,63,51,3,12,5,0,0,17,3,0,0,7,1,0,12,1,2,2,.235,.328,.333,.661,.303,82.3,0.16,1965-11-22
3700,김갑중94태,81,164,149,17,36,9,1,1,50,10,1,2,7,1,0,32,5,7,0,.242,.280,.336,.616,.275,70.2,0.16,1970-08-15
3701,김성갑87빙3B,108,434,382,52,88,19,1,0,109,12,9,7,27,4,0,42,6,20,1,.230,.287,.285,.573,.266,57.6,0.16,1962-05-03
3702,김경언01해LF,65,109,94,15,27,6,0,1,36,7,1,2,10,0,0,28,2,3,2,.287,.349,.383,.732,.330,87.1,0.15,1982-12-07
3703,김재호05두,47,31,27,6,6,1,1,1,12,4,1,0,2,1,0,5,1,1,0,.222,.300,.444,.744,.323,93.3,0.15,1985-03-21
3704,이정식07삼C,65,73,64,6,10,3,0,3,22,9,0,0,7,1,0,10,1,1,0,.156,.250,.344,.594,.274,60.3,0.15,1981-11-02
3705,박용근14LSS,27,25,19,8,4,2,0,0,6,0,1,0,6,0,0,6,1,0,0,.211,.400,.316,.716,.355,100.7,0.15,1984-01-21
3706,오준혁16KRF,47,144,132,18,35,8,4,2,57,15,1,2,9,1,0,38,2,2,0,.265,.317,.432,.749,.330,80.3,0.15,1992-03-11
3707,국해성18두RF,14,28,24,4,8,3,0,0,11,1,1,0,3,1,0,5,1,0,0,.333,.429,.458,.887,.402,136.6,0.15,1989-10-08
3708,정구왕85삼RF,49,160,143,19,37,4,0,1,44,4,4,1,9,2,0,19,4,6,0,.259,.312,.308,.619,.287,73.4,0.15,1954-03-26
3709,서정호04롯,15,37,33,5,7,0,0,2,13,4,2,0,4,0,0,9,1,0,0,.212,.297,.394,.691,.317,84.3,0.15,1981-12-24
3710,구천서86O2B,54,94,78,11,16,1,1,1,22,6,0,3,10,2,0,16,0,1,3,.205,.301,.282,.583,.281,74.8,0.15,1963-08-15
3711,정재훈91L,7,19,18,1,6,2,0,0,8,2,1,1,1,0,0,1,0,0,0,.333,.368,.444,.813,.378,134.4,0.15,1972-03-14
3712,계기범94태,40,111,107,14,28,4,1,0,34,10,4,2,2,0,0,20,3,2,0,.262,.275,.318,.593,.272,67.7,0.15,1970-12-29
3713,최해식94쌍해C,12,18,16,2,5,0,0,0,5,3,0,0,1,1,0,5,1,0,0,.313,.389,.313,.701,.343,116.7,0.15,1968-09-30
3714,주경업91태,15,45,41,3,11,2,0,0,13,3,0,0,4,0,0,5,1,0,0,.268,.333,.317,.650,.313,89.2,0.15,1968-09-02
3715,박정환87삼1B,36,84,80,12,19,0,0,5,34,11,0,2,4,0,0,11,0,0,0,.238,.274,.425,.699,.326,98.6,0.15,1957-05-25
3716,염경엽94태SS,119,409,349,33,74,15,1,2,97,30,11,5,28,3,1,42,4,26,3,.212,.274,.278,.552,.246,49.9,0.15,1968-03-01
3717,이두환10두DH,13,30,25,2,8,1,0,1,12,6,1,0,2,1,0,7,0,0,2,.320,.367,.480,.847,.373,120.7,0.15,1988-03-16
3718,최정05S,45,93,85,6,21,5,0,1,29,11,0,0,5,2,0,27,3,1,0,.247,.304,.341,.646,.299,76.4,0.15,1987-02-28
3719,정범모07한C,3,5,5,1,2,0,0,1,5,2,0,0,0,0,0,1,0,0,0,.400,.400,1.000,1.400,.616,296.5,0.15,1987-03-26
3720,최치용90OC,6,9,8,1,3,1,0,0,4,1,0,0,0,1,0,1,0,0,0,.375,.444,.500,.944,.448,181.3,0.15,1970-08-19
3721,이홍구17KSC,53,110,101,14,19,3,0,10,52,18,0,0,5,2,0,43,2,1,1,.188,.239,.515,.753,.305,66.5,0.15,1990-12-11
3722,이창원86롯LF,8,9,9,1,3,0,0,1,6,4,0,0,0,0,0,2,1,0,0,.333,.333,.667,1.000,.466,214.9,0.15,1963-02-22
3723,김진수06롯두C,17,21,18,2,5,1,0,0,6,3,1,0,2,0,0,3,2,1,0,.278,.350,.333,.683,.312,94.7,0.15,1979-04-19
3724,손지환98LSS,48,70,60,13,14,1,1,0,17,4,0,0,3,4,0,12,0,3,0,.233,.313,.283,.597,.272,63.7,0.15,1978-11-13
3725,김도현11넥RF,3,10,8,0,4,0,0,0,4,1,0,1,2,0,0,2,0,0,0,.500,.600,.500,1.100,.528,231.9,0.15,1992-10-23
3726,이성열07LDH,75,158,141,20,35,6,2,1,48,14,7,1,9,5,1,51,2,2,1,.248,.314,.340,.655,.304,81.4,0.15,1984-07-13
3727,박세혁13두C,18,31,26,4,6,3,0,0,9,2,0,0,3,1,0,6,0,1,0,.231,.333,.346,.680,.317,82.6,0.15,1990-01-09
3728,이명수91OSS,46,117,97,9,19,8,0,1,30,10,1,1,14,0,1,23,0,4,2,.196,.292,.309,.601,.273,60.7,0.15,1966-07-29
3729,조동화14SRF,125,522,443,74,116,12,5,2,144,52,37,7,43,4,1,72,8,28,4,.262,.330,.325,.655,.292,59.2,0.15,1981-03-22
3730,안대환93O,40,77,66,13,15,4,0,0,19,8,3,1,6,1,0,10,1,1,3,.227,.290,.288,.577,.272,69.4,0.15,1962-09-14
3731,김진홍89OC,25,33,28,1,6,0,1,0,8,2,1,0,4,0,0,4,0,1,0,.214,.313,.286,.598,.287,71.3,0.15,1962-09-10
3732,이종열96L2B,91,210,182,18,44,6,4,0,58,11,12,8,12,0,0,15,7,14,2,.242,.286,.319,.604,.263,60.9,0.15,1973-01-28
3733,용덕한06두C,58,94,84,9,18,3,0,2,27,6,0,0,5,0,0,14,2,4,1,.214,.256,.321,.577,.258,55.6,0.15,1981-04-09
3734,이택근04현C,41,64,57,9,12,1,0,2,19,8,0,2,5,2,0,11,1,0,0,.211,.297,.333,.630,.298,71.6,0.15,1980-07-10
3735,배영섭10삼CF,11,26,24,5,7,2,0,0,9,3,1,0,2,0,0,6,1,0,0,.292,.346,.375,.721,.338,97.1,0.15,1986-06-27
3736,조양근93LSS,68,172,146,17,31,3,1,0,36,6,4,2,14,2,0,18,5,9,1,.212,.288,.247,.535,.249,52.8,0.15,1964-03-22
3737,김태형95OC,93,215,194,20,42,12,0,1,57,19,1,1,7,3,0,26,4,9,2,.216,.252,.294,.546,.243,49.1,0.15,1967-09-12
3738,이우민03롯,23,72,56,6,12,4,0,0,16,5,3,1,2,10,0,19,0,3,1,.214,.348,.286,.634,.299,72.7,0.15,1982-05-04
3739,전종화89롯C,5,5,4,0,2,1,0,0,3,0,0,0,1,0,0,1,0,0,0,.500,.600,.750,1.350,.612,290.9,0.14,1965-08-10
3740,조남기97해C,24,37,33,4,8,1,0,0,9,2,0,0,3,1,0,6,1,0,0,.242,.324,.273,.597,.289,76.7,0.14,1974-05-17
3741,김일경12L2B,44,94,82,10,18,2,0,1,23,12,4,1,9,0,0,18,2,3,0,.220,.297,.280,.577,.273,64.1,0.14,1978-07-01
3742,김원근94한,29,68,56,4,13,1,0,0,14,4,1,0,7,3,1,12,2,1,1,.232,.343,.250,.593,.286,77.2,0.14,1968-04-07
3743,김경언04KLF,114,220,189,20,46,6,2,3,65,25,6,2,21,1,2,39,6,5,4,.243,.316,.344,.660,.298,71.9,0.14,1982-12-07
3744,최주환08두2B,16,16,15,3,4,2,1,0,8,6,0,0,1,0,0,4,0,0,0,.267,.313,.533,.846,.376,128.6,0.14,1988-02-28
3745,김태민96L,12,27,24,3,6,1,0,1,10,2,0,0,0,2,0,8,0,1,0,.250,.308,.417,.724,.323,104.5,0.14,1971-10-09
3746,백용환18KC,34,57,47,7,13,1,0,0,14,4,0,1,9,0,0,15,3,1,0,.277,.393,.298,.691,.330,88.3,0.14,1989-03-20
3747,손상득83삼C,18,21,19,4,5,0,1,0,7,2,1,0,1,0,0,3,0,1,0,.263,.300,.368,.668,.294,84.3,0.14,1956-04-03
3748,황재균08히SS,117,333,306,27,73,10,1,1,88,18,10,7,16,2,0,56,8,7,2,.239,.279,.288,.567,.266,54.1,0.14,1987-07-28
3749,김현민96쌍1B,42,111,102,10,25,7,0,2,38,19,0,1,4,3,0,22,0,1,1,.245,.291,.373,.664,.304,90.8,0.14,1973-09-15
3750,쿡슨03LRF,23,86,70,6,15,0,0,2,21,5,1,1,14,2,0,19,3,0,0,.214,.361,.300,.661,.322,88.7,0.14,1969-09-07
3751,채종국02현3B,100,224,184,24,42,7,0,3,58,15,0,2,13,12,0,36,2,12,3,.228,.316,.315,.631,.278,65.0,0.14,1975-10-24
3752,오태곤14롯SS,57,50,45,10,11,3,0,1,17,5,2,1,5,0,0,18,0,0,0,.244,.320,.378,.698,.319,75.2,0.14,1991-11-18
3753,백인호97해RF,62,121,106,9,26,5,0,1,34,16,0,0,10,2,0,24,1,3,0,.245,.322,.321,.643,.296,81.4,0.14,1963-05-19
3754,손인호08LRF,77,152,135,13,36,7,0,0,43,17,1,0,10,2,0,23,0,2,3,.267,.320,.319,.639,.301,77.0,0.14,1975-04-03
3755,박지환93롯,23,36,30,1,7,0,1,0,9,3,0,0,5,0,0,3,2,0,1,.233,.333,.300,.633,.305,95.1,0.14,1969-10-20
3756,유재신12넥3B,58,96,85,14,20,2,2,0,26,7,5,2,6,0,0,20,0,4,1,.235,.283,.306,.589,.268,60.5,0.14,1987-11-21
3757,이정식05삼C,59,78,67,7,15,3,0,1,21,4,0,0,6,1,0,13,4,4,0,.224,.297,.313,.611,.275,60.3,0.14,1981-11-02
3758,조평호15N,22,22,22,4,8,2,0,1,13,3,0,0,0,0,0,6,1,0,0,.364,.364,.591,.955,.416,145.4,0.14,1985-08-07
3759,스나이더14LCF,37,113,100,17,21,7,0,4,40,17,0,2,9,3,0,31,0,0,1,.210,.292,.400,.692,.308,76.2,0.14,1982-05-25
3760,유지현03LSS,109,386,334,30,78,7,0,1,88,16,23,8,31,5,0,44,7,14,2,.234,.307,.263,.570,.265,47.7,0.14,1971-05-25
3761,김기현15S,9,9,7,0,3,0,0,0,3,0,0,0,2,0,0,3,0,0,0,.429,.556,.429,.984,.475,190.2,0.14,1987-05-09
3762,박철우96쌍DH,28,43,32,1,6,0,0,1,9,2,0,0,10,1,0,7,3,0,0,.188,.395,.281,.677,.341,116.8,0.14,1964-04-12
3763,황성기01해C,34,43,40,6,9,1,0,2,16,4,0,0,2,1,0,10,2,0,0,.225,.279,.400,.679,.305,70.8,0.14,1977-06-09
3764,이종호90빙,58,47,41,13,10,1,0,0,11,5,6,2,5,0,0,4,1,1,0,.244,.326,.268,.594,.290,72.9,0.14,1967-02-15
3765,지화선96현,24,39,36,4,8,2,0,1,13,2,2,1,3,0,0,7,0,0,0,.222,.282,.361,.643,.299,87.0,0.14,1970-05-10
3766,조중근08히1B,31,69,68,7,19,6,0,1,28,9,1,0,1,0,0,15,2,0,0,.279,.290,.412,.702,.323,92.1,0.14,1982-12-20
3767,윤해진14K2B,5,3,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,.874,438.0,0.14,1989-02-25
3768,최무영88삼,15,22,20,3,5,2,0,1,10,1,0,1,2,0,0,0,2,0,0,.250,.318,.500,.818,.369,128.8,0.14,1962-11-02
3769,임형석97롯3B,36,73,62,7,13,2,0,1,18,7,0,1,10,0,0,27,0,0,1,.210,.315,.290,.605,.289,76.7,0.14,1968-01-29
3770,정현택00L1B,8,6,5,0,3,0,0,0,3,2,0,0,1,0,0,0,0,0,0,.600,.667,.600,1.267,.585,269.6,0.14,1980-02-22
3771,이정상03K,8,23,17,2,5,1,0,0,6,2,1,0,4,0,0,3,2,2,0,.294,.429,.353,.782,.343,103.7,0.14,1984-07-11
3772,강현철93롯,5,7,6,1,2,0,1,0,4,0,0,0,1,0,0,3,0,0,0,.333,.429,.667,1.095,.486,223.7,0.14,1968-02-15
3773,임경택87롯,44,68,62,6,15,3,1,0,20,8,1,0,5,0,1,9,3,0,1,.242,.294,.323,.617,.288,71.4,0.14,1963-03-02
3774,곽동열88빙,23,30,26,4,7,1,0,1,11,4,0,0,1,1,0,7,0,1,1,.269,.310,.423,.733,.322,96.8,0.13,1955-05-10
3775,양승관90LCF,36,41,38,6,11,2,0,0,13,3,0,2,3,0,0,4,1,0,0,.289,.342,.342,.684,.330,99.4,0.13,1959-06-02
3776,최재훈12두C,69,104,91,9,19,4,0,1,26,8,0,0,4,4,0,17,1,4,1,.209,.270,.286,.556,.258,53.6,0.13,1989-08-27
3777,이종민91OSS,59,122,108,17,24,1,0,0,25,3,5,0,10,1,0,15,3,3,0,.222,.294,.231,.526,.255,48.5,0.13,1972-12-25
3778,이호준00해S1B,61,209,190,23,44,9,0,10,83,25,1,0,12,4,0,45,9,3,0,.232,.291,.437,.728,.316,83.1,0.13,1976-02-08
3779,이대호01롯1B,6,9,8,0,4,0,0,0,4,1,0,0,1,0,0,2,0,0,0,.500,.556,.500,1.056,.502,201.5,0.13,1982-06-21
3780,곽연수92O,88,195,178,13,42,9,1,5,68,22,0,2,9,3,1,21,7,5,0,.236,.284,.382,.666,.294,70.2,0.13,1967-03-18
3781,최준석04롯C,10,20,19,3,4,0,0,2,10,2,0,0,0,1,0,1,2,0,0,.211,.250,.526,.776,.336,97.9,0.13,1983-02-15
3782,김종모92해3B,21,26,20,3,4,0,0,1,7,4,0,0,6,0,1,2,1,0,0,.200,.385,.350,.735,.340,101.8,0.13,1959-11-01
3783,박정환89삼2B,48,98,91,9,20,3,0,2,29,13,1,2,7,0,0,16,1,0,0,.220,.276,.319,.594,.286,72.2,0.13,1957-05-25
3784,손인호05롯LF,114,387,345,25,83,16,3,2,111,27,3,2,29,7,1,64,8,5,1,.241,.312,.322,.633,.295,73.3,0.13,1975-04-03
3785,김동길10두SS,8,5,5,2,2,1,1,0,5,1,0,0,0,0,0,3,0,0,0,.400,.400,1.000,1.400,.582,261.6,0.13,1987-03-01
3786,엄정대00롯,32,18,15,6,4,0,1,0,6,3,0,0,2,1,0,1,0,0,0,.267,.389,.400,.789,.365,116.2,0.13,1975-05-10
3787,최승준14L1B,20,40,38,4,10,3,0,2,19,11,0,0,2,0,0,11,1,0,0,.263,.300,.500,.800,.344,102.6,0.13,1988-01-11
3788,임재철12두RF,66,148,136,16,33,4,2,2,47,14,4,2,8,0,0,25,7,3,1,.243,.283,.346,.628,.289,75.4,0.13,1976-04-08
3789,최동창94쌍,10,15,10,3,2,0,0,0,2,0,0,0,4,1,0,4,0,0,0,.200,.467,.200,.667,.365,132.5,0.13,1965-06-07
3790,최재룡91O,28,38,38,5,11,3,0,1,17,6,0,2,0,0,0,5,0,0,0,.289,.290,.447,.737,.336,104.7,0.13,1964-06-15
3791,이종도87O,73,146,130,14,27,4,0,2,37,12,2,2,16,0,0,21,3,0,0,.208,.295,.285,.579,.285,68.5,0.13,1952-05-22
3792,백상원15삼2B,52,94,77,10,19,5,0,0,24,7,0,0,13,1,0,22,2,2,1,.247,.359,.312,.670,.316,77.0,0.13,1988-01-02
3793,신동주04삼CF,73,118,105,11,23,5,1,2,36,9,1,2,8,3,0,26,2,1,1,.219,.291,.343,.634,.293,68.3,0.13,1972-12-14
3794,손동일95롯,84,219,197,28,40,7,0,5,62,23,5,4,16,1,1,55,3,3,2,.203,.264,.315,.579,.263,66.0,0.13,1971-07-05
3795,전근표05현RF,37,111,96,12,20,7,0,2,33,4,0,1,14,1,0,27,3,0,0,.208,.315,.344,.659,.311,85.0,0.13,1977-03-05
3796,조성옥93롯RF,63,112,97,8,26,1,0,1,30,13,2,1,8,0,1,9,2,4,3,.268,.315,.309,.624,.283,79.6,0.13,1961-08-25
3797,정진기17SLF,90,212,197,37,46,5,1,11,86,35,4,0,9,4,0,55,1,2,0,.234,.281,.437,.718,.308,70.9,0.13,1992-10-10
3798,양영동12LRF,72,82,71,23,14,2,1,0,18,4,12,0,7,1,0,14,1,3,0,.197,.279,.254,.532,.252,49.6,0.13,1983-07-16
3799,하주석15한SS,4,11,10,3,3,0,0,0,3,1,0,0,1,0,0,4,0,0,0,.300,.364,.300,.664,.322,77.4,0.13,1994-02-25
3800,박기혁03롯2B,95,321,281,34,69,10,2,4,95,32,7,4,20,2,0,42,9,16,2,.246,.298,.338,.636,.279,58.3,0.13,1981-06-04
3801,박광열16NC,13,15,15,0,6,0,0,0,6,0,0,0,0,0,0,3,1,0,0,.400,.400,.400,.800,.378,115.9,0.13,1995-08-28
3802,박재홍10SRF,82,219,191,22,42,7,0,8,73,27,1,2,23,1,0,34,6,3,1,.220,.306,.382,.688,.311,79.3,0.13,1973-09-07
3803,박준혁16한RF,6,9,8,3,3,2,0,0,5,3,0,0,1,0,0,2,1,0,0,.375,.444,.625,1.069,.471,173.3,0.13,1991-01-09
3804,이철성82삼RF,42,166,146,17,38,7,1,0,47,10,3,5,15,1,0,9,1,4,0,.260,.333,.322,.655,.305,83.3,0.13,1957-03-14
3805,조흥운84삼SS,46,140,126,17,26,6,0,1,35,6,7,4,9,1,0,26,1,4,0,.206,.265,.278,.543,.253,52.9,0.13,1954-08-13
3806,김실00두CF,10,14,13,3,5,0,0,0,5,0,0,0,1,0,0,2,0,0,0,.385,.429,.385,.813,.384,129.7,0.13,1967-06-03
3807,김훈93해RF,116,344,305,35,69,15,1,3,95,22,11,8,24,1,0,39,10,8,0,.226,.285,.311,.596,.274,72.9,0.13,1970-03-11
3808,정영진93태,83,169,138,11,26,8,0,0,34,6,1,1,20,4,0,39,2,4,3,.188,.303,.246,.549,.267,67.1,0.13,1965-11-22
3809,용덕한05두C,59,141,130,13,31,5,0,0,36,10,1,3,10,0,0,23,3,1,0,.238,.293,.277,.570,.271,56.8,0.12,1981-04-09
3810,이동훈05롯C,2,3,3,0,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,.667,.667,1.000,1.667,.751,394.2,0.12,1981-12-25
3811,박찬도14삼LF,28,8,8,8,4,0,0,0,4,3,6,2,0,0,0,2,0,0,0,.500,.500,.500,1.000,.470,174.9,0.12,1989-02-22
3812,김성현88롯C,15,37,32,5,7,0,0,0,7,1,1,0,5,0,0,4,1,0,0,.219,.324,.219,.543,.276,65.1,0.12,1963-08-21
3813,한기철94삼,83,71,61,14,16,3,0,1,22,7,7,9,6,1,0,16,1,3,0,.262,.338,.361,.699,.317,98.5,0.12,1969-06-20
3814,김상국97현C,47,73,58,4,11,2,0,0,13,8,0,0,11,2,2,12,2,1,1,.190,.333,.224,.558,.266,59.9,0.12,1963-04-05
3815,김종훈97롯삼LF,88,247,209,27,45,7,4,1,63,15,14,2,17,8,1,50,3,11,2,.215,.297,.301,.598,.268,62.4,0.12,1972-01-29
3816,정영기82MSS,75,270,246,27,56,5,1,1,66,23,6,6,21,0,0,32,3,2,1,.228,.287,.268,.556,.265,57.3,0.12,1956-02-29
3817,장정석01현2B,46,38,33,5,10,4,0,0,14,3,0,0,2,0,0,9,0,1,2,.303,.324,.424,.749,.324,82.8,0.12,1973-04-12
3818,김진홍86OC,4,4,4,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,.500,.500,.750,1.250,.584,304.2,0.12,1962-09-10
